solvent_chem_id	solute_chem_id	solvent_name	solute_name	solute_smiles	solvent_smiles	DHFUS_kj_mol	Tmelt_C	solubility_g_100g	solubility_g_100g_log	solubility_mass_fraction	solubility_mole_frac	cosmo_solubility_g_100g	cosmo_solubility_g_100g_log	cosmo_solubility_mass_frac	cosmo_solubility_mole_frac	delta_g_100g	delta_g_100g_log	delta_mass_frac	delta_mole_frac	apol	ast_fraglike	ast_fraglike_ext	ast_violation	ast_violation_ext	a_acc	a_acid	a_aro	a_base	a_count	a_don	a_donacc	a_heavy	a_hyd	a_IC	a_ICM	a_nB	a_nBr	a_nC	a_nCl	a_nF	a_nH	a_nI	a_nN	a_nO	a_nP	a_nS	balabanJ	BCUT_PEOE_0	BCUT_PEOE_1	BCUT_PEOE_2	BCUT_PEOE_3	BCUT_SLOGP_0	BCUT_SLOGP_1	BCUT_SLOGP_2	BCUT_SLOGP_3	BCUT_SMR_0	BCUT_SMR_1	BCUT_SMR_2	BCUT_SMR_3	bpol	b_1rotN	b_1rotR	b_ar	b_count	b_double	b_heavy	b_max1len	b_rotN	b_rotR	b_single	b_triple	chi0	chi0v	chi0v_C	chi0_C	chi1	chi1v	chi1v_C	chi1_C	chiral	chiral_u	density	diameter	FCharge	GCUT_PEOE_0	GCUT_PEOE_1	GCUT_PEOE_2	GCUT_PEOE_3	GCUT_SLOGP_0	GCUT_SLOGP_1	GCUT_SLOGP_2	GCUT_SLOGP_3	GCUT_SMR_0	GCUT_SMR_1	GCUT_SMR_2	GCUT_SMR_3	h_ema	h_emd	h_emd_C	h_logD	h_logP	h_logS	h_log_dbo	h_log_pbo	h_mr	h_pavgQ	h_pKa	h_pKb	h_pstates	h_pstrain	Kier1	Kier2	Kier3	KierA1	KierA2	KierA3	KierFlex	lip_acc	lip_don	lip_druglike	lip_violation	logP(o/w)	logS	mr	mutagenic	nmol	opr_brigid	opr_leadlike	opr_nring	opr_nrot	opr_violation	PC+	PC-	PEOE_PC+	PEOE_PC-	PEOE_RPC+	PEOE_RPC-	PEOE_VSA+0	PEOE_VSA+1	PEOE_VSA+2	PEOE_VSA+3	PEOE_VSA+4	PEOE_VSA+5	PEOE_VSA+6	PEOE_VSA-0	PEOE_VSA-1	PEOE_VSA-2	PEOE_VSA-3	PEOE_VSA-4	PEOE_VSA-5	PEOE_VSA-6	PEOE_VSA_FHYD	PEOE_VSA_FNEG	PEOE_VSA_FPNEG	PEOE_VSA_FPOL	PEOE_VSA_FPOS	PEOE_VSA_FPPOS	PEOE_VSA_HYD	PEOE_VSA_NEG	PEOE_VSA_PNEG	PEOE_VSA_POL	PEOE_VSA_POS	PEOE_VSA_PPOS	petitjean	petitjeanSC	Q_PC+	Q_PC-	Q_RPC+	Q_RPC-	Q_VSA_FHYD	Q_VSA_FNEG	Q_VSA_FPNEG	Q_VSA_FPOL	Q_VSA_FPOS	Q_VSA_FPPOS	Q_VSA_HYD	Q_VSA_NEG	Q_VSA_PNEG	Q_VSA_POL	Q_VSA_POS	Q_VSA_PPOS	radius	reactive	rings	RPC+	RPC-	rsynth	SlogP	SlogP_VSA0	SlogP_VSA1	SlogP_VSA2	SlogP_VSA3	SlogP_VSA4	SlogP_VSA5	SlogP_VSA6	SlogP_VSA7	SlogP_VSA8	SlogP_VSA9	SMR	SMR_VSA0	SMR_VSA1	SMR_VSA2	SMR_VSA3	SMR_VSA4	SMR_VSA5	SMR_VSA6	SMR_VSA7	TPSA	VAdjEq	VAdjMa	VDistEq	VDistMa	vdw_area	vdw_vol	vsa_acc	vsa_acid	vsa_base	vsa_don	vsa_hyd	vsa_other	vsa_pol	Weight	weinerPath	weinerPol	zagreb
55	258	Ethanol	hydroquinone	Oc1ccc(O)cc1	OCC	27.110001	171.89999	56.576225	1.7526339	0.36133343	0.19140001	49.354527	1.693327	0.33045217	0.17115007	-7.2217007	-0.059306998	-0.03088128	-0.02024992	16.164759	1	1	0	0	2	0	6	0	14	2	4	8	6	20.283419	1.4488156	0	0	6	0	0	6	0	0	2	0	0	2.2646422	-2.1692731	-0.75684702	0.79791343	2.1309874	-1.9700137	-0.70276606	0.79322523	2.3751178	-1.8550557	-0.59695941	0.9400999	2.4445145	6.5592418	0	0	6	14	0	8	0	0	0	8	0	5.9831276	4.2038283	3.309401	3.9831276	3.7876937	2.2685809	1.8213673	2.6329932	0	0	0.83034712	5	0	-0.76621825	-0.46372244	0.18543673	1.8931462	-0.76267397	-0.311885	0.15752824	2.110517	-0.43245378	-0.25147852	0.28108415	2.1841278	1.7703366	4.9581981	1.4276696	0.85245848	0.85214829	-0.91941267	0	3.4274228	3.0372181	-0.0035320418	9.4504375	14	1.0237448	0.0021094063	6.125	2.52	1.8	4.3645353	1.6948504	1.1498824	0.9246543	2	2	1	0	1.29	-0.66097999	3.030412	0	1	6	1	1	0	0	0	0	0.37990531	-0.37990531	0.34487623	0.5	63.233978	0	16.917038	0	0	0	0	0	0	0	27.133842	0	0	0	1	0.25291398	0	0	0.74708599	0	107.28486	27.133842	0	0	80.151016	0	0.40000001	0.66666669	0	0	0	0	1	0	0	0	1	0	107.28486	0	0	0	107.28486	0	3	0	1	0	0	1	1.0978	50.770454	0	0	0	0	0	0	70.572739	0	10.486856	2.97716	0	50.770454	0	10.486856	0	70.572739	0	0	40.459999	0.8112781	4	1.9905418	5.649457	107.28486	125.3259	0	0	0	0	80.151016	0	27.133842	110.112	62	7	36
29	258	Butyl Acetate	hydroquinone	Oc1ccc(O)cc1	O=C(OCCCC)C	27.110001	171.89999	12.59691	1.1002641	0.11187616	0.1173	15.986174	1.2037445	0.13782828	0.14430586	3.3892634	0.10348049	0.02595211	0.027005849	16.164759	1	1	0	0	2	0	6	0	14	2	4	8	6	20.283419	1.4488156	0	0	6	0	0	6	0	0	2	0	0	2.2646422	-2.1692731	-0.75684702	0.79791343	2.1309874	-1.9700137	-0.70276606	0.79322523	2.3751178	-1.8550557	-0.59695941	0.9400999	2.4445145	6.5592418	0	0	6	14	0	8	0	0	0	8	0	5.9831276	4.2038283	3.309401	3.9831276	3.7876937	2.2685809	1.8213673	2.6329932	0	0	0.83034712	5	0	-0.76621825	-0.46372244	0.18543673	1.8931462	-0.76267397	-0.311885	0.15752824	2.110517	-0.43245378	-0.25147852	0.28108415	2.1841278	1.7703366	4.9581981	1.4276696	0.85245848	0.85214829	-0.91941267	0	3.4274228	3.0372181	-0.0035320418	9.4504375	14	1.0237448	0.0021094063	6.125	2.52	1.8	4.3645353	1.6948504	1.1498824	0.9246543	2	2	1	0	1.29	-0.66097999	3.030412	0	1	6	1	1	0	0	0	0	0.37990531	-0.37990531	0.34487623	0.5	63.233978	0	16.917038	0	0	0	0	0	0	0	27.133842	0	0	0	1	0.25291398	0	0	0.74708599	0	107.28486	27.133842	0	0	80.151016	0	0.40000001	0.66666669	0	0	0	0	1	0	0	0	1	0	107.28486	0	0	0	107.28486	0	3	0	1	0	0	1	1.0978	50.770454	0	0	0	0	0	0	70.572739	0	10.486856	2.97716	0	50.770454	0	10.486856	0	70.572739	0	0	40.459999	0.8112781	4	1.9905418	5.649457	107.28486	125.3259	0	0	0	0	80.151016	0	27.133842	110.112	62	7	36
23	298	Acetone	octadecanoic acid	O=C(O)CCCCCCCCCCCCCCCCC	O=C(C)C	56.400002	69.599998	3.8008001	0.57987499	0.036616292	0.0077	12.295889	1.0897599	0.10949545	0.024499999	8.4950886	0.50988489	0.072879158	0.01678865	57.288548	0	0	1	2	2	0	0	0	56	2	4	20	17	62.035927	1.1077844	0	0	18	0	0	36	0	0	2	0	0	2.9242687	-2.7470498	-0.33624494	0.31047317	2.6774094	-2.5735605	-0.27668908	0.30315164	2.8505938	-2.4930077	-0.16735956	0.42282993	2.9323869	40.313454	16	0.84210527	0	55	1	19	17	16	0.84210527	54	0	14.891059	13.66917	12.813708	12.891059	9.7700558	8.9883909	8.5606604	8.6153555	0	0	0.69786596	18	0	-0.80473441	-0.31598452	0.017135287	2.7016146	-0.87253571	-0.19201468	0.012818312	2.850893	-0.53557622	-0.17072789	0.11750082	2.9152842	2.2712829	5.5322309	2.7248545	7.5440044	7.6235852	-7.3494272	0	0.95450443	8.6672974	-0.99028313	4.9917674	14	1.0562199	2.7625623	20	17.052631	19.058823	19.082806	16.228596	18.103609	15.484357	2	1	1	1	7.026	-7.5238099	8.8375483	0	1	0	0	0	16	2	0	0	0.41091272	-0.41091272	0.73365164	0.63662475	266.53586	15.808495	0	0	0	0	14.708499	187.49339	0	13.566921	0	0	13.566921	0	0.91278046	0.083698191	0.041849095	0.087219559	0.91630179	0.04537046	295.91129	27.133842	13.566921	28.275419	297.05286	14.708499	0.5	1	0	0	0	0	1	0	0	0	1	0	324.18671	0	0	0	324.18671	0	9	0	0	0	0	0	6.3325	0	7.7454643	23.862217	25.385227	0	0	0	0	301.8945	33.326015	8.7181797	23.862217	0	25.385227	0	0	301.8945	7.7454643	33.326015	37.299999	0.45294255	5.2479277	3.9737091	8.2524881	324.18671	355.64996	0	0	0	0	282.34436	14.708499	27.133842	284.48398	1313	17	76
66	298	Heptane	octadecanoic acid	O=C(O)CCCCCCCCCCCCCCCCC	C(CCC)CCC	56.400002	69.599998	1.5127	0.17975281	0.01490158	0.00529997	0.76743168	-0.11496029	0.0076199998	0.0027000001	-0.74526834	-0.29471311	-0.00728571	-0.0026041199	57.288548	0	0	1	2	2	0	0	0	56	2	4	20	17	62.035927	1.1077844	0	0	18	0	0	36	0	0	2	0	0	2.9242687	-2.7470498	-0.33624494	0.31047317	2.6774094	-2.5735605	-0.27668908	0.30315164	2.8505938	-2.4930077	-0.16735956	0.42282993	2.9323869	40.313454	16	0.84210527	0	55	1	19	17	16	0.84210527	54	0	14.891059	13.66917	12.813708	12.891059	9.7700558	8.9883909	8.5606604	8.6153555	0	0	0.69786596	18	0	-0.80473441	-0.31598452	0.017135287	2.7016146	-0.87253571	-0.19201468	0.012818312	2.850893	-0.53557622	-0.17072789	0.11750082	2.9152842	2.2712829	5.5322309	2.7248545	7.5440044	7.6235852	-7.3494272	0	0.95450443	8.6672974	-0.99028313	4.9917674	14	1.0562199	2.7625623	20	17.052631	19.058823	19.082806	16.228596	18.103609	15.484357	2	1	1	1	7.026	-7.5238099	8.8375483	0	1	0	0	0	16	2	0	0	0.41091272	-0.41091272	0.73365164	0.63662475	266.53586	15.808495	0	0	0	0	14.708499	187.49339	0	13.566921	0	0	13.566921	0	0.91278046	0.083698191	0.041849095	0.087219559	0.91630179	0.04537046	295.91129	27.133842	13.566921	28.275419	297.05286	14.708499	0.5	1	0	0	0	0	1	0	0	0	1	0	324.18671	0	0	0	324.18671	0	9	0	0	0	0	0	6.3325	0	7.7454643	23.862217	25.385227	0	0	0	0	301.8945	33.326015	8.7181797	23.862217	0	25.385227	0	0	301.8945	7.7454643	33.326015	37.299999	0.45294255	5.2479277	3.9737091	8.2524881	324.18671	355.64996	0	0	0	0	282.34436	14.708499	27.133842	284.48398	1313	17	76
67	298	Hexane	octadecanoic acid	O=C(O)CCCCCCCCCCCCCCCCC	C(CCC)CC	56.400002	69.599998	2.4275999	0.38517714	0.02370064	0.0073001301	1.0892335	0.037120976	0.0108	0.0032899999	-1.3383665	-0.34805617	-0.01292567	-0.0040114201	57.288548	0	0	1	2	2	0	0	0	56	2	4	20	17	62.035927	1.1077844	0	0	18	0	0	36	0	0	2	0	0	2.9242687	-2.7470498	-0.33624494	0.31047317	2.6774094	-2.5735605	-0.27668908	0.30315164	2.8505938	-2.4930077	-0.16735956	0.42282993	2.9323869	40.313454	16	0.84210527	0	55	1	19	17	16	0.84210527	54	0	14.891059	13.66917	12.813708	12.891059	9.7700558	8.9883909	8.5606604	8.6153555	0	0	0.69786596	18	0	-0.80473441	-0.31598452	0.017135287	2.7016146	-0.87253571	-0.19201468	0.012818312	2.850893	-0.53557622	-0.17072789	0.11750082	2.9152842	2.2712829	5.5322309	2.7248545	7.5440044	7.6235852	-7.3494272	0	0.95450443	8.6672974	-0.99028313	4.9917674	14	1.0562199	2.7625623	20	17.052631	19.058823	19.082806	16.228596	18.103609	15.484357	2	1	1	1	7.026	-7.5238099	8.8375483	0	1	0	0	0	16	2	0	0	0.41091272	-0.41091272	0.73365164	0.63662475	266.53586	15.808495	0	0	0	0	14.708499	187.49339	0	13.566921	0	0	13.566921	0	0.91278046	0.083698191	0.041849095	0.087219559	0.91630179	0.04537046	295.91129	27.133842	13.566921	28.275419	297.05286	14.708499	0.5	1	0	0	0	0	1	0	0	0	1	0	324.18671	0	0	0	324.18671	0	9	0	0	0	0	0	6.3325	0	7.7454643	23.862217	25.385227	0	0	0	0	301.8945	33.326015	8.7181797	23.862217	0	25.385227	0	0	301.8945	7.7454643	33.326015	37.299999	0.45294255	5.2479277	3.9737091	8.2524881	324.18671	355.64996	0	0	0	0	282.34436	14.708499	27.133842	284.48398	1313	17	76
109	303	Water	fumaric acid	O=C(O)C=CC(=O)O	O	33.299999	287	0.69980001	-0.15502606	0.0069493698	0.0010849599	2.6877649	0.42939129	0.0262	0.0041499999	1.987965	0.58441734	0.01922478	0.00306933	12.915172	0	0	2	2	4	0	0	0	12	4	8	8	2	19.01955	1.5849625	0	0	4	0	0	4	0	0	4	0	0	3.01139	-2.0091348	-0.60566598	0.57764304	2.1177361	-2.1234715	-0.56604773	0.561396	2.0407834	-1.7405318	-0.40947881	0.71113151	2.382458	6.2888279	2	0.2857143	0	11	3	7	0	2	0.2857143	8	0	6.5689139	3.8656244	2.1547005	2.5689142	3.6258976	1.7661455	0.91068363	1.3164966	0	0	1.0146127	5	0	-0.69823492	-0.49323711	0.14313577	1.6859769	-0.87643945	-0.45795456	0.10976067	1.6225802	-0.40565348	-0.25004312	0.24794392	1.9330758	4.4198661	7.8035707	2.0023739	-0.62778115	-0.20034125	-0.27674231	0	3.0383604	2.6062317	-1.9896269	3.8796382	14	1.0594369	7.0078874	8	3.9375	7.1999998	5.4933701	2.5346303	4.3750858	1.7404579	4	2	1	0	-0.056000002	-0.088040002	2.4818311	0	1	1	1	0	2	0	0	0	0.80177855	-0.80177855	0.40483806	0.32004637	0	31.616989	0	0	0	0	29.416998	0	0	27.133842	0	0	27.133842	0	0.50954014	0.47065824	0.23532912	0.49045986	0.52934176	0.25513071	58.750832	54.267685	27.133842	56.550838	61.033989	29.416998	0.40000001	0.66666669	0	0	0	0	1	0	0	0	1	0	115.30167	0	0	0	115.30167	0	3	0	0	0	0	0	-0.28819999	0	15.490929	47.724434	50.770454	0	0	0	35.286369	0	0	2.44116	47.724434	0	50.770454	0	0	35.286369	15.490929	0	74.599998	0.75787848	3.8073549	2.2623148	5.6119804	115.30167	110.42638	0	0	0	0	31.616989	29.416998	54.267685	116.072	74	5	30
26	303	Benzene	fumaric acid	O=C(O)C=CC(=O)O	c1ccccc1	33.299999	287	0.0044999998	-2.3467875	4.5000001e-005	3.028e-005	0.00050099997	-3.3001623	5.0100002e-006	3.3700001e-006	-0.0039989999	-0.9533748	-3.9989998e-005	-2.691e-005	12.915172	0	0	2	2	4	0	0	0	12	4	8	8	2	19.01955	1.5849625	0	0	4	0	0	4	0	0	4	0	0	3.01139	-2.0091348	-0.60566598	0.57764304	2.1177361	-2.1234715	-0.56604773	0.561396	2.0407834	-1.7405318	-0.40947881	0.71113151	2.382458	6.2888279	2	0.2857143	0	11	3	7	0	2	0.2857143	8	0	6.5689139	3.8656244	2.1547005	2.5689142	3.6258976	1.7661455	0.91068363	1.3164966	0	0	1.0146127	5	0	-0.69823492	-0.49323711	0.14313577	1.6859769	-0.87643945	-0.45795456	0.10976067	1.6225802	-0.40565348	-0.25004312	0.24794392	1.9330758	4.4198661	7.8035707	2.0023739	-0.62778115	-0.20034125	-0.27674231	0	3.0383604	2.6062317	-1.9896269	3.8796382	14	1.0594369	7.0078874	8	3.9375	7.1999998	5.4933701	2.5346303	4.3750858	1.7404579	4	2	1	0	-0.056000002	-0.088040002	2.4818311	0	1	1	1	0	2	0	0	0	0.80177855	-0.80177855	0.40483806	0.32004637	0	31.616989	0	0	0	0	29.416998	0	0	27.133842	0	0	27.133842	0	0.50954014	0.47065824	0.23532912	0.49045986	0.52934176	0.25513071	58.750832	54.267685	27.133842	56.550838	61.033989	29.416998	0.40000001	0.66666669	0	0	0	0	1	0	0	0	1	0	115.30167	0	0	0	115.30167	0	3	0	0	0	0	0	-0.28819999	0	15.490929	47.724434	50.770454	0	0	0	35.286369	0	0	2.44116	47.724434	0	50.770454	0	0	35.286369	15.490929	0	74.599998	0.75787848	3.8073549	2.2623148	5.6119804	115.30167	110.42638	0	0	0	0	31.616989	29.416998	54.267685	116.072	74	5	30
34	303	Chloroform	fumaric acid	O=C(O)C=CC(=O)O	ClC(Cl)Cl	33.299999	287	0.02	-1.69897	0.00019996001	0.00020564999	0.00012500001	-3.90309	1.25e-006	1.29e-006	-0.019874999	-2.2041199	-0.00019871	-0.00020436	12.915172	0	0	2	2	4	0	0	0	12	4	8	8	2	19.01955	1.5849625	0	0	4	0	0	4	0	0	4	0	0	3.01139	-2.0091348	-0.60566598	0.57764304	2.1177361	-2.1234715	-0.56604773	0.561396	2.0407834	-1.7405318	-0.40947881	0.71113151	2.382458	6.2888279	2	0.2857143	0	11	3	7	0	2	0.2857143	8	0	6.5689139	3.8656244	2.1547005	2.5689142	3.6258976	1.7661455	0.91068363	1.3164966	0	0	1.0146127	5	0	-0.69823492	-0.49323711	0.14313577	1.6859769	-0.87643945	-0.45795456	0.10976067	1.6225802	-0.40565348	-0.25004312	0.24794392	1.9330758	4.4198661	7.8035707	2.0023739	-0.62778115	-0.20034125	-0.27674231	0	3.0383604	2.6062317	-1.9896269	3.8796382	14	1.0594369	7.0078874	8	3.9375	7.1999998	5.4933701	2.5346303	4.3750858	1.7404579	4	2	1	0	-0.056000002	-0.088040002	2.4818311	0	1	1	1	0	2	0	0	0	0.80177855	-0.80177855	0.40483806	0.32004637	0	31.616989	0	0	0	0	29.416998	0	0	27.133842	0	0	27.133842	0	0.50954014	0.47065824	0.23532912	0.49045986	0.52934176	0.25513071	58.750832	54.267685	27.133842	56.550838	61.033989	29.416998	0.40000001	0.66666669	0	0	0	0	1	0	0	0	1	0	115.30167	0	0	0	115.30167	0	3	0	0	0	0	0	-0.28819999	0	15.490929	47.724434	50.770454	0	0	0	35.286369	0	0	2.44116	47.724434	0	50.770454	0	0	35.286369	15.490929	0	74.599998	0.75787848	3.8073549	2.2623148	5.6119804	115.30167	110.42638	0	0	0	0	31.616989	29.416998	54.267685	116.072	74	5	30
109	919	Water	3-pyridinecarboxylic acid	O=C(O)c1cnccc1	O	13.01	236	1.66187	0.22059704	0.01634703	0.0024260101	0.65633261	-0.18287599	0.0065199998	0.00095999998	-1.0055374	-0.40347305	-0.0098265	-0.00146648	16.597965	1	1	0	0	3	0	6	0	14	2	5	9	5	24.183554	1.7273967	0	0	6	0	0	5	0	1	2	0	0	2.2906082	-2.1082251	-0.602422	0.67330587	2.1486189	-2.1069605	-0.52581239	0.73113877	2.1927481	-1.8127911	-0.4437243	0.80172598	2.4353344	7.7440348	1	0.11111111	6	14	1	9	0	1	0.11111111	7	0	6.6902347	4.6120768	3.309401	3.9831276	4.3045306	2.4381456	1.4940169	2.1498299	0	0	0.85727257	5	0	-0.74393076	-0.4466292	0.14464548	1.8860688	-0.85420048	-0.35519421	0.19518203	1.9413732	-0.40433091	-0.22745392	0.23895784	2.1641028	4.2051477	5.223218	2.3372505	0.36937088	0.66366661	-1.1994917	0	4.2110958	3.3045428	-0.98941857	5.0289755	10.662715	1.0665716	3.5724137	7.1111112	3.2396693	2	4.6048775	1.9658833	1.1377991	1.0058502	3	1	1	0	0.34999999	-0.096139997	3.3054912	0	1	6	1	1	1	0	0	0	0.64293092	-0.64293092	0.50666761	0.39904195	31.616989	22.508045	20.299505	0	0	0	14.708499	0	0	13.566921	0	5.6825762	13.566921	0	0.72154039	0.26909852	0.15784815	0.27845958	0.73090148	0.12061144	87.991463	32.816418	19.249496	33.957996	89.133041	14.708499	0.40000001	0.66666669	0	0	0	0	1	0	0	0	1	0	121.94946	0	0	0	121.94946	0	3	0	1	0	0	0.44444445	0.7798	0	24.530994	0	25.385227	27.047791	0	0	69.71508	0	0	3.1196301	23.862217	16.78553	25.385227	3.185575	0	69.71508	7.7454643	0	50.189999	0.7642045	4.1699252	2.1498685	6.0047355	121.94946	137.72865	5.6825762	0	0	0	74.424538	14.708499	32.816418	123.111	88	9	40
24	919	Acetonitrile	3-pyridinecarboxylic acid	O=C(O)c1cnccc1	N#CC	13.01	236	0.055500001	-1.2557852	0.00055459002	0.000185	34.09761	1.5327239	0.25427455	0.10209334	34.042122	2.7885091	0.25371996	0.10190834	16.597965	1	1	0	0	3	0	6	0	14	2	5	9	5	24.183554	1.7273967	0	0	6	0	0	5	0	1	2	0	0	2.2906082	-2.1082251	-0.602422	0.67330587	2.1486189	-2.1069605	-0.52581239	0.73113877	2.1927481	-1.8127911	-0.4437243	0.80172598	2.4353344	7.7440348	1	0.11111111	6	14	1	9	0	1	0.11111111	7	0	6.6902347	4.6120768	3.309401	3.9831276	4.3045306	2.4381456	1.4940169	2.1498299	0	0	0.85727257	5	0	-0.74393076	-0.4466292	0.14464548	1.8860688	-0.85420048	-0.35519421	0.19518203	1.9413732	-0.40433091	-0.22745392	0.23895784	2.1641028	4.2051477	5.223218	2.3372505	0.36937088	0.66366661	-1.1994917	0	4.2110958	3.3045428	-0.98941857	5.0289755	10.662715	1.0665716	3.5724137	7.1111112	3.2396693	2	4.6048775	1.9658833	1.1377991	1.0058502	3	1	1	0	0.34999999	-0.096139997	3.3054912	0	1	6	1	1	1	0	0	0	0.64293092	-0.64293092	0.50666761	0.39904195	31.616989	22.508045	20.299505	0	0	0	14.708499	0	0	13.566921	0	5.6825762	13.566921	0	0.72154039	0.26909852	0.15784815	0.27845958	0.73090148	0.12061144	87.991463	32.816418	19.249496	33.957996	89.133041	14.708499	0.40000001	0.66666669	0	0	0	0	1	0	0	0	1	0	121.94946	0	0	0	121.94946	0	3	0	1	0	0	0.44444445	0.7798	0	24.530994	0	25.385227	27.047791	0	0	69.71508	0	0	3.1196301	23.862217	16.78553	25.385227	3.185575	0	69.71508	7.7454643	0	50.189999	0.7642045	4.1699252	2.1498685	6.0047355	121.94946	137.72865	5.6825762	0	0	0	74.424538	14.708499	32.816418	123.111	88	9	40
