solvent_chem_id	solute_chem_id	solvent_name	solute_name	solute_smiles	solvent_smiles	DHFUS_kj_mol	Tmelt_C	solubility_g_100g	solubility_g_100g_log	solubility_mass_fraction	solubility_mole_frac	cosmo_solubility_g_100g	cosmo_solubility_g_100g_log	cosmo_solubility_mass_frac	cosmo_solubility_mole_frac	delta_g_100g	delta_g_100g_log	delta_mass_frac	delta_mole_frac	apol	ast_fraglike	ast_fraglike_ext	ast_violation	ast_violation_ext	a_acc	a_acid	a_aro	a_base	a_count	a_don	a_donacc	a_heavy	a_hyd	a_IC	a_ICM	a_nB	a_nBr	a_nC	a_nCl	a_nF	a_nH	a_nI	a_nN	a_nO	a_nP	a_nS	balabanJ	BCUT_PEOE_0	BCUT_PEOE_1	BCUT_PEOE_2	BCUT_PEOE_3	BCUT_SLOGP_0	BCUT_SLOGP_1	BCUT_SLOGP_2	BCUT_SLOGP_3	BCUT_SMR_0	BCUT_SMR_1	BCUT_SMR_2	BCUT_SMR_3	bpol	b_1rotN	b_1rotR	b_ar	b_count	b_double	b_heavy	b_max1len	b_rotN	b_rotR	b_single	b_triple	chi0	chi0v	chi0v_C	chi0_C	chi1	chi1v	chi1v_C	chi1_C	chiral	chiral_u	density	diameter	FCharge	GCUT_PEOE_0	GCUT_PEOE_1	GCUT_PEOE_2	GCUT_PEOE_3	GCUT_SLOGP_0	GCUT_SLOGP_1	GCUT_SLOGP_2	GCUT_SLOGP_3	GCUT_SMR_0	GCUT_SMR_1	GCUT_SMR_2	GCUT_SMR_3	h_ema	h_emd	h_emd_C	h_logD	h_logP	h_logS	h_log_dbo	h_log_pbo	h_mr	h_pavgQ	h_pKa	h_pKb	h_pstates	h_pstrain	Kier1	Kier2	Kier3	KierA1	KierA2	KierA3	KierFlex	lip_acc	lip_don	lip_druglike	lip_violation	logP(o/w)	logS	mr	mutagenic	nmol	opr_brigid	opr_leadlike	opr_nring	opr_nrot	opr_violation	PC+	PC-	PEOE_PC+	PEOE_PC-	PEOE_RPC+	PEOE_RPC-	PEOE_VSA+0	PEOE_VSA+1	PEOE_VSA+2	PEOE_VSA+3	PEOE_VSA+4	PEOE_VSA+5	PEOE_VSA+6	PEOE_VSA-0	PEOE_VSA-1	PEOE_VSA-2	PEOE_VSA-3	PEOE_VSA-4	PEOE_VSA-5	PEOE_VSA-6	PEOE_VSA_FHYD	PEOE_VSA_FNEG	PEOE_VSA_FPNEG	PEOE_VSA_FPOL	PEOE_VSA_FPOS	PEOE_VSA_FPPOS	PEOE_VSA_HYD	PEOE_VSA_NEG	PEOE_VSA_PNEG	PEOE_VSA_POL	PEOE_VSA_POS	PEOE_VSA_PPOS	petitjean	petitjeanSC	Q_PC+	Q_PC-	Q_RPC+	Q_RPC-	Q_VSA_FHYD	Q_VSA_FNEG	Q_VSA_FPNEG	Q_VSA_FPOL	Q_VSA_FPOS	Q_VSA_FPPOS	Q_VSA_HYD	Q_VSA_NEG	Q_VSA_PNEG	Q_VSA_POL	Q_VSA_POS	Q_VSA_PPOS	radius	reactive	rings	RPC+	RPC-	rsynth	SlogP	SlogP_VSA0	SlogP_VSA1	SlogP_VSA2	SlogP_VSA3	SlogP_VSA4	SlogP_VSA5	SlogP_VSA6	SlogP_VSA7	SlogP_VSA8	SlogP_VSA9	SMR	SMR_VSA0	SMR_VSA1	SMR_VSA2	SMR_VSA3	SMR_VSA4	SMR_VSA5	SMR_VSA6	SMR_VSA7	TPSA	VAdjEq	VAdjMa	VDistEq	VDistMa	vdw_area	vdw_vol	vsa_acc	vsa_acid	vsa_base	vsa_don	vsa_hyd	vsa_other	vsa_pol	Weight	weinerPath	weinerPol	zagreb
55	258	Ethanol	hydroquinone	Oc1ccc(O)cc1	OCC	27.110001	171.89999	56.576225	1.7526339	0.36133343	0.19140001	49.354527	1.693327	0.33045217	0.17115007	-7.2217007	-0.059306998	-0.03088128	-0.02024992	8.3227577	1	1	0	0	1	0	0	0	9	1	2	3	2	11.01955	1.2243944	0	0	2	0	0	6	0	0	1	0	0	1.6329932	-2.3613851	-0.23031633	0.29641473	2.3196595	-2.3782039	-0.20443316	0.27721819	2.3375793	-2.1351309	-0.13424273	0.36044881	2.5375211	6.5592418	0	0	0	8	0	2	2	0	0	8	0	2.7071068	2.1543205	1.7071068	1.7071068	1.4142135	1.0233345	0.70710677	0.70710677	0	0	0.76771754	2	0	-0.80301636	-0.23622845	0.00418645	1.5843509	-0.8735171	-0.17786309	-0.024753533	1.6047966	-0.51971358	-0.13065805	0.051119875	1.773644	1.3328327	2.0639029	0.97711152	0.15029076	0.15029076	0.097579233	0	0	1.2586986	0	14	14	1	0	3	2	0	3	2	0	2	1	1	1	0	-0.063000001	0.28479001	1.3310919	0	1	0	1	0	0	0	0	0	0.22042485	-0.22042485	0.82653278	1	29.408449	0	0	22.058474	0	0	0	0	0	0	0	13.566921	0	0	0.79138678	0.20861323	0.20861323	0.20861323	0.79138678	0	51.466923	13.566921	13.566921	13.566921	51.466923	0	0.5	1	0	0	0	0	1	0	0	0	1	0	65.033844	0	0	0	65.033844	0	1	0	0	0	0	1	-0.0014	25.385227	0	0	20.926258	0	0	0	0	0	33.326015	1.27598	0	25.385227	0	0	0	0	20.926258	33.326015	20.23	0.99107605	2	0.91829586	2.5	65.033844	52.129848	0	0	0	0	51.466923	0	13.566921	46.069	4	0	6
29	258	Butyl Acetate	hydroquinone	Oc1ccc(O)cc1	O=C(OCCCC)C	27.110001	171.89999	12.59691	1.1002641	0.11187616	0.1173	15.986174	1.2037445	0.13782828	0.14430586	3.3892634	0.10348049	0.02595211	0.027005849	20.165516	1	1	0	0	1	0	0	0	20	0	1	8	5	25.909237	1.2954619	0	0	6	0	0	12	0	0	2	0	0	2.7370529	-2.5701959	-0.14580584	0.048726741	2.5341115	-2.5008194	-0.018811077	0.123	2.6390944	-2.3338938	0.066781051	0.1057	2.7693725	15.992484	3	0.42857143	0	19	1	7	4	4	0.5714286	18	0	6.4057775	5.4378171	4.6213202	4.6986704	3.7700555	2.9040303	2.2071068	2.284457	0	0	0.76013976	6	0	-0.78533685	-0.29379988	-0.11127326	2.0905633	-0.8451978	-0.18887188	-0.037	2.1596353	-0.5284521	-0.10532671	-0.054299999	2.2980337	2.3943634	3.6251054	3.6251054	1.2560726	1.2560726	-1.0831918	0	0.95508271	3.2147472	0	14	14	1	0	8	5.1428571	7.1999998	7.054143	4.4425101	6.10812	3.9172628	2	0	1	0	1.582	-1.05027	3.3028934	0	1	0	1	0	3	0	0	0	0.56557661	-0.56557661	0.48161569	0.53281689	61.02544	0	29.408449	22.058474	0	14.708499	0	0	0	0	0	0	13.566921	2.503756	0.78516895	0.11216936	0.11216936	0.21483105	0.88783062	0.1026617	112.49236	16.070677	16.070677	30.779177	127.20086	14.708499	0.5	1	0	0	0	0	1	0	0	0	1	0	143.27155	0	0	0	143.27155	0	3	0	0	0	0	0.625	1.3496	0	7.7454643	34.862103	20.926258	0	0	0	0	37.736813	66.652031	3.1540999	34.862103	0	0	0	0	37.736813	28.671722	66.652031	26.299999	0.75787848	3.8073549	2.4620872	5.5870352	143.27155	136.90114	13.566921	0	0	0	112.49236	17.212255	13.566921	116.16	79	5	28
23	298	Acetone	octadecanoic acid	O=C(O)CCCCCCCCCCCCCCCCC	O=C(C)C	56.400002	69.599998	3.8008001	0.57987499	0.036616292	0.0077	12.295889	1.0897599	0.10949545	0.024499999	8.4950886	0.50988489	0.072879158	0.01678865	10.082758	1	1	0	0	1	0	0	0	10	0	1	4	2	12.954618	1.2954619	0	0	3	0	0	6	0	0	1	0	0	2.5914834	-2.2570817	0.030568358	0.030568358	2.3120255	-2.2605827	0.123	0.123	2.3321912	-2.0299506	0.1057	0.1057	2.5532186	7.517242	0	0	0	9	1	3	2	0	0	8	0	3.5773504	2.9082482	2.5	2.5773504	1.7320508	1.2041241	1	1.1547005	0	0	0.73639923	2	0	-0.70667583	-0.12943164	-0.12943164	1.6632545	-0.81065768	-0.037	-0.037	1.6918643	-0.46890619	-0.054299999	-0.054299999	1.885358	1.6537946	2.3353055	2.3353055	0.43373477	0.43373477	-0.36672384	0	0.68980354	1.635874	0	14	14	1	0	4	1.3333334	0	2.997	0.86699998	0	0.64959973	1	0	1	0	0.097000003	0.063390002	1.7231903	0	1	0	1	0	0	0	0	0	0.29603511	-0.29603511	0.51184899	1	0	58.816898	0	8.458519	0	0	0	0	0	0	0	0	13.566921	0	0.8321805	0.1678195	0.1678195	0.1678195	0.8321805	0	67.275421	13.566921	13.566921	13.566921	67.275421	0	0.5	1	0	0	0	0	1	0	0	0	1	0	80.842339	0	0	0	80.842339	0	1	1	0	0	0	1	0.59530002	0	5.6876111	23.862217	0	0	0	0	0	0	66.652031	1.6355	23.862217	0	0	0	0	0	5.6876111	66.652031	17.07	0.95443398	2.5849626	1	3.5032582	80.842339	70.657326	13.566921	0	0	0	58.816898	8.458519	13.566921	58.079998	9	0	12
66	298	Heptane	octadecanoic acid	O=C(O)CCCCCCCCCCCCCCCCC	C(CCC)CCC	56.400002	69.599998	1.5127	0.17975281	0.01490158	0.00529997	0.76743168	-0.11496029	0.0076199998	0.0027000001	-0.74526834	-0.29471311	-0.00728571	-0.0026041199	22.988688	1	0	0	1	0	0	0	0	23	0	0	7	7	20.39044	0.88654089	0	0	7	0	0	16	0	0	0	0	0	2.4474728	-2.6772192	0.022977512	0.026525509	2.6043646	-2.501286	0.123	0.123	2.779655	-2.4249587	0.1057	0.1057	2.8581371	17.491312	4	0.66666669	0	22	0	6	6	4	0.66666669	22	0	5.5355339	5.5355339	5.5355339	5.5355339	3.4142137	3.4142137	3.4142137	3.4142137	0	0	0.61063999	6	0	-0.80289775	-0.1370225	-0.13347448	2.2617953	-0.617612	-0.037	-0.037	2.4189737	-0.53191966	-0.054299999	-0.054299999	2.4760296	0	0.44953972	0.44953972	3.8809648	3.8809648	-3.5943985	0	0	3.3505297	0	14	14	1	0	7	6	6	7	6	6	6	0	0	1	0	4.7223001	-3.4479599	3.4520738	0	1	0	1	0	4	0	0	0	0	0	0	0	137.85938	0	0	0	0	0	0	137.85938	0	0	0	0	0	0	1	0	0	0	1	0	137.85938	0	0	0	137.85938	0	0.5	1	0	0	0	0	1	0	0	0	1	0	137.85938	0	0	0	137.85938	0	3	0	0	0	0	0	2.9767001	0	0	0	0	0	0	0	0	94.342026	66.652031	3.4433	0	0	0	0	0	94.342026	0	66.652031	0	0.80309099	3.5849626	2.398303	5.1689868	137.85938	137.68669	0	0	0	0	137.85938	0	0	100.20499	56	4	22
67	298	Hexane	octadecanoic acid	O=C(O)CCCCCCCCCCCCCCCCC	C(CCC)CC	56.400002	69.599998	2.4275999	0.38517714	0.02370064	0.0073001301	1.0892335	0.037120976	0.0108	0.0032899999	-1.3383665	-0.34805617	-0.01292567	-0.0040114201	19.895102	1	1	0	0	0	0	0	0	20	0	0	6	6	17.625818	0.88129091	0	0	6	0	0	14	0	0	0	0	0	2.3390923	-2.653856	0.022977512	0.026519943	2.5807822	-2.477951	0.123	0.123	2.756022	-2.4025209	0.1057	0.1057	2.8336561	15.304898	3	0.60000002	0	19	0	5	5	3	0.60000002	19	0	4.8284273	4.8284273	4.8284273	4.8284273	2.9142137	2.9142137	2.9142137	2.9142137	0	0	0.60478747	5	0	-0.80246991	-0.1370225	-0.13348006	2.1740434	-0.61692977	-0.037	-0.037	2.3311949	-0.53195995	-0.054299999	-0.054299999	2.3876305	0	0.38151175	0.38151175	3.3715639	3.3715639	-3.0728967	0	0	2.8961442	0	14	14	1	0	6	5	5.3333335	6	5	5.3333335	5	0	0	1	0	4.1093998	-2.93274	2.9927115	0	1	0	1	0	3	0	0	0	0	0	0	0	122.05088	0	0	0	0	0	0	122.05088	0	0	0	0	0	0	1	0	0	0	1	0	122.05088	0	0	0	122.05088	0	0.40000001	0.66666669	0	0	0	0	1	0	0	0	1	0	122.05088	0	0	0	122.05088	0	3	0	0	0	0	0	2.5866001	0	0	0	0	0	0	0	0	75.473625	66.652031	2.9816	0	0	0	0	0	75.473625	0	66.652031	0	0.85240519	3.321928	2.1492555	4.7043028	122.05088	119.15922	0	0	0	0	122.05088	0	0	86.178001	35	3	18
109	303	Water	fumaric acid	O=C(O)C=CC(=O)O	O	33.299999	287	0.69980001	-0.15502606	0.0069493698	0.0010849599	2.6877649	0.42939129	0.0262	0.0041499999	1.987965	0.58441734	0.01922478	0.00306933	2.135586	1	1	0	0	1	0	0	0	3	1	2	1	0	2.7548876	0.91829586	0	0	0	0	0	2	0	0	1	0	0	0	-1.5499492	-0.37982756	0.58506083	1.344716	-1.6927547	-0.74271828	0.20011827	1.1357548	-1.3035619	-0.34152064	0.60148066	1.5254419	0.27041399	0	0	0	2	0	0	0	0	0	2	0	0	0.5	0	0	0	0	0	0	0	0	1.3919388	0	0	-0.76118904	-0.22357419	0.26880744	0.71595579	-0.83356404	-0.56298804	-0.13961197	0.43656406	-0.44690558	-0.16263519	0.26259521	0.8287856	1.2327621	2.5378661	0	-0.49151933	-0.49151933	0.69404006	0	0	0.34992719	0	14	14	1	0	0	0	0	0	0	0	0	1	2	1	0	-0.061999999	0.26062	0.40577829	0	1	0	1	0	0	0	0	0	0	0	0	0	24.630085	0	0	0	0	0	0	24.630085	0	0	0	0	0	0	1	0	0	0	1	0	24.630085	0	0	0	24.630085	0	0	0	0	0	0	0	1	0	0	0	1	0	24.630085	0	0	0	24.630085	0	0	0	0	0	0	1	-0.8247	39.770565	0	0	0	0	0	0	0	0	0	0.36138001	0	0	0	39.770565	0	0	0	0	0	0	0	0	0	24.630085	11.49404	0	0	0	0	0	0	24.630085	18.014999	0	0	0
26	303	Benzene	fumaric acid	O=C(O)C=CC(=O)O	c1ccccc1	33.299999	287	0.0044999998	-2.3467875	4.5000001e-005	3.028e-005	0.00050099997	-3.3001623	5.0100002e-006	3.3700001e-006	-0.0039989999	-0.9533748	-3.9989998e-005	-2.691e-005	14.560758	1	1	0	0	0	0	6	0	12	0	0	6	6	12	1	0	0	6	0	0	6	0	0	0	0	0	2.1176472	-2.1474104	-0.65007842	0.69669789	2.0693455	-1.9559137	-0.53807992	0.80591482	2.2592115	-1.817862	-0.49986199	0.85431087	2.4032412	6.5592418	0	0	6	12	0	6	0	0	0	6	0	4.2426405	3.4641016	3.4641016	4.2426405	3	2	2	3	0	0	0.6482805	3	0	-0.75899506	-0.39088586	0.078933202	1.7970871	-0.55409592	-0.26386139	0.16445385	1.9748272	-0.40650788	-0.21605732	0.19305076	2.1060863	0	1.2614005	1.2614005	1.8593565	1.8593565	-2.1115119	0	3.0649538	2.6283553	0	14	14	1	0	4.1666665	2.2222223	1.3333334	2.5822179	1.2154069	0.63938469	0.52307427	0	0	1	0	1.906	-1.3848799	2.7499685	0	1	6	1	1	0	0	0	0	0	0	0	0	94.850967	0	0	0	0	0	0	94.850967	0	0	0	0	0	0	1	0	0	0	1	0	94.850967	0	0	0	94.850967	0	0	0	0	0	0	0	1	0	0	0	1	0	94.850967	0	0	0	94.850967	0	3	0	1	0	0	1	1.6866	0	0	0	0	0	0	0	105.85911	0	0	2.6442001	0	0	0	0	0	105.85911	0	0	0	0.91829586	3.5849626	1.5219281	4.7821221	94.850967	111.16484	0	0	0	0	94.850967	0	0	78.113998	27	3	24
34	303	Chloroform	fumaric acid	O=C(O)C=CC(=O)O	ClC(Cl)Cl	33.299999	287	0.02	-1.69897	0.00019996001	0.00020564999	0.00012500001	-3.90309	1.25e-006	1.29e-006	-0.019874999	-2.2041199	-0.00019871	-0.00020436	8.9667931	1	1	0	0	0	0	0	0	5	0	0	4	3	6.854753	1.3709506	0	0	1	3	0	1	0	0	0	0	0	2.3237901	-1.9368912	-0.087033011	-0.0031063599	2.0721002	-1.8752456	0.40175757	0.68949997	2.2247593	-1.6440728	0.34583873	0.58530003	2.3820646	2.3532071	0	0	0	4	0	3	2	0	0	4	0	3.5773504	3.9790306	0.57735026	0.57735026	1.7320508	1.963961	0	0	0	0	1.4219949	2	0	-0.59503132	-0.24703301	-0.16154699	1.2079014	-0.68716395	0.23521386	0.52950001	1.5264932	-0.37391308	0.1944696	0.4253	1.5789586	0.87778258	0.72892159	0.72892159	2.2008309	2.2008309	-1.7293829	0	0	1.838093	0	14	14	1	0	4	1.3333334	0	11.37723	5.5037432	0	15.654337	0	0	1	0	1.73808	-1.32287	2.0173111	1	1	0	1	0	0	0	0	0	0.23641339	-0.23641339	1	0.33333334	0	0	0	0	9.1421604	0	0	0	88.745842	0	0	0	0	0	0.9066059	0.9066059	0	0.093394086	0.093394086	0.093394086	88.745842	88.745842	0	9.1421604	9.1421604	9.1421604	0.5	1	0	0	0	0	1	0	0	0	1	0	97.888	0	0	0	97.888	0	1	1	0	0	0	1	1.9864	0	0	5.3558908	0	0	0	0	0	0	117.44593	2.1347001	0	0	0	5.3558908	0	0	0	117.44593	0	0.95443398	2.5849626	1	3.5032582	97.888	83.24221	0	0	0	0	88.745842	9.1421604	0	119.378	9	0	12
109	919	Water	3-pyridinecarboxylic acid	O=C(O)c1cnccc1	O	13.01	236	1.66187	0.22059704	0.01634703	0.0024260101	0.65633261	-0.18287599	0.0065199998	0.00095999998	-1.0055374	-0.40347305	-0.0098265	-0.00146648	2.135586	1	1	0	0	1	0	0	0	3	1	2	1	0	2.7548876	0.91829586	0	0	0	0	0	2	0	0	1	0	0	0	-1.5499492	-0.37982756	0.58506083	1.344716	-1.6927547	-0.74271828	0.20011827	1.1357548	-1.3035619	-0.34152064	0.60148066	1.5254419	0.27041399	0	0	0	2	0	0	0	0	0	2	0	0	0.5	0	0	0	0	0	0	0	0	1.3919388	0	0	-0.76118904	-0.22357419	0.26880744	0.71595579	-0.83356404	-0.56298804	-0.13961197	0.43656406	-0.44690558	-0.16263519	0.26259521	0.8287856	1.2327621	2.5378661	0	-0.49151933	-0.49151933	0.69404006	0	0	0.34992719	0	14	14	1	0	0	0	0	0	0	0	0	1	2	1	0	-0.061999999	0.26062	0.40577829	0	1	0	1	0	0	0	0	0	0	0	0	0	24.630085	0	0	0	0	0	0	24.630085	0	0	0	0	0	0	1	0	0	0	1	0	24.630085	0	0	0	24.630085	0	0	0	0	0	0	0	1	0	0	0	1	0	24.630085	0	0	0	24.630085	0	0	0	0	0	0	1	-0.8247	39.770565	0	0	0	0	0	0	0	0	0	0.36138001	0	0	0	39.770565	0	0	0	0	0	0	0	0	0	24.630085	11.49404	0	0	0	0	0	0	24.630085	18.014999	0	0	0
24	919	Acetonitrile	3-pyridinecarboxylic acid	O=C(O)c1cnccc1	N#CC	13.01	236	0.055500001	-1.2557852	0.00055459002	0.000185	34.09761	1.5327239	0.25427455	0.10209334	34.042122	2.7885091	0.25371996	0.10190834	6.620379	1	1	0	0	1	0	0	0	6	0	1	3	1	8.7548876	1.4591479	0	0	2	0	0	3	0	1	0	0	0	2.1338935	-1.9913052	-0.16748865	0.17222041	2.0534635	-1.9084399	-0.073576674	0.25565678	2.1380835	-1.8091146	-0.015355899	0.31717566	2.2437553	3.939621	0	0	0	5	0	2	1	0	0	4	1	2.7071068	1.9472136	1.5	1.7071068	1.4142135	0.72360682	0.5	0.70710677	0	0	0.69266051	2	0	-0.66857392	-0.25056693	-0.036484219	1.286081	-0.5898878	-0.15760729	0.051016603	1.3655438	-0.47100025	-0.097863324	0.099456452	1.4863209	1.8538809	2.0807157	2.0807157	0.18954581	0.18954581	-0.23269081	0	1.0982983	1.2183409	0	14	14	1	0	3	2	0	1.455552	0.411008	0	0.19941451	1	0	1	0	-0.096000001	0.024730001	1.3295102	0	1	0	1	0	0	0	0	0	0.19582969	-0.19582969	0.62062538	1	0	20.299505	29.408449	0	0	0	0	0	0	0	17.742489	0	0	0	1	0.2630448	0	0	0.73695517	0	67.450447	17.742489	0	0	49.707954	0	0.5	1	0	0	0	0	1	0	0	0	1	0	67.450447	0	0	0	67.450447	0	1	0	0	0	0	1	0.52988398	0	0	0	47.661102	0	0	0	0	0	33.326015	1.1287	0	31.059357	0	16.601746	0	0	0	33.326015	23.790001	0.99107605	2	0.91829586	2.5	67.450447	54.902798	17.742489	0	0	0	29.408449	20.299505	17.742489	41.052998	4	0	6
